"Time (s)  קפיץ 1 עגלה עם משקולת","Position (m)  קפיץ 1 עגלה עם משקולת","Velocity (m/s)  קפיץ 1 עגלה עם משקולת","Acceleration (m/s²)  קפיץ 1 עגלה עם משקולת","Force (N)  קפיץ 1 עגלה עם משקולת","Time (s) קפיץ 1 ללא משקולת","Position (m) קפיץ 1 ללא משקולת","Velocity (m/s) קפיץ 1 ללא משקולת","Acceleration (m/s²) קפיץ 1 ללא משקולת","Force (N) קפיץ 1 ללא משקולת","Time (s) קפיץ 2 עגלה ללא משקולת","Position (m) קפיץ 2 עגלה ללא משקולת","Velocity (m/s) קפיץ 2 עגלה ללא משקולת","Acceleration (m/s²) קפיץ 2 עגלה ללא משקולת","Force (N) קפיץ 2 עגלה ללא משקולת","Time (s) פלסטלינה ללא משקולת","Position (m) פלסטלינה ללא משקולת","Velocity (m/s) פלסטלינה ללא משקולת","Acceleration (m/s²) פלסטלינה ללא משקולת","Force (N) פלסטלינה ללא משקולת"
0.000,0.01,,,0.0,0.000,9.01E-4,,,0.0,0.000,0.00,,,0.0,0.000,0.00,,,0.0
0.002,,,,0.0,0.002,,,,0.0,0.002,,,,0.0,0.002,,,,0.0
0.004,,,,0.0,0.004,,,,0.0,0.004,,,,0.0,0.004,,,,0.0
0.006,,,,0.0,0.006,,,,0.0,0.006,,,,0.0,0.006,,,,0.0
0.008,,,,0.0,0.008,,,,0.0,0.008,,,,0.0,0.008,,,,0.0
0.010,0.01,-0.04,,0.0,0.010,5.16E-4,-0.02,,0.0,0.010,0.00,-0.03,,0.0,0.010,0.00,-0.06,,0.0
0.012,,,,0.0,0.012,,,,0.0,0.012,,,,0.0,0.012,,,,0.0
0.014,,,,0.0,0.014,,,,0.0,0.014,,,,0.0,0.014,,,,0.0
0.016,,,,0.0,0.016,,,,0.0,0.016,,,,0.0,0.016,,,,0.0
0.018,,,,0.0,0.018,,,,0.0,0.018,,,,0.0,0.018,,,,0.0
0.020,0.01,-0.02,1.45,0.0,0.020,5.37E-4,-0.01,0.61,0.0,0.020,0.00,-0.02,0.95,0.0,0.020,0.00,-0.02,2.68,0.0
0.022,,,,0.0,0.022,,,,0.0,0.022,,,,0.0,0.022,,,,0.0
0.024,,,,0.0,0.024,,,,0.0,0.024,,,,0.0,0.024,,,,0.0
0.026,,,,0.0,0.026,,,,0.0,0.026,,,,0.0,0.026,,,,0.0
0.028,,,,0.0,0.028,,,,0.0,0.028,,,,0.0,0.028,,,,0.0
0.030,0.01,-0.01,0.68,0.0,0.030,3.44E-4,-0.01,0.45,0.0,0.030,0.00,-0.01,0.57,0.0,0.030,0.00,0.00,1.32,0.0
0.032,,,,0.0,0.032,,,,0.0,0.032,,,,0.0,0.032,,,,0.0
0.034,,,,0.0,0.034,,,,0.0,0.034,,,,0.0,0.034,,,,0.0
